,T_ext,T_int,Ts_ext,Ts_int,q_ext,q_int
0,293.15,293.15,293.15,293.15,50,0
60,293.15,293.15,293.16,293.15,49.9981,0
120,293.15,293.15,293.171,293.15,49.9924,0
180,293.15,293.15,293.181,293.15,49.9829,0
240,293.15,293.15,293.191,293.15,49.9695,0
300,293.15,293.15,293.202,293.15,49.9524,0
360,293.15,293.15,293.212,293.15,49.9315,0
420,293.15,293.15,293.222,293.15,49.9067,0
480,293.15,293.15,293.232,293.15,49.8782,0
540,293.15,293.15,293.242,293.15,49.8459,0
600,293.15,293.15,293.252,293.15,49.8097,0
600,293.15,293.15,293.252,293.15,49.8097,0
600,293.15,293.15,293.252,293.15,49.8097,0
660,293.15,293.15,293.262,293.15,49.7698,0
720,293.15,293.15,293.272,293.15,49.7261,0
780,293.15,293.15,293.282,293.15,49.6786,0
840,293.15,293.15,293.291,293.15,49.6273,0
900,293.15,293.15,293.301,293.15,49.5722,0
960,293.15,293.15,293.311,293.15,49.5134,0
1020,293.15,293.15,293.32,293.15,49.4508,0
1080,293.15,293.15,293.33,293.15,49.3844,0
1140,293.15,293.15,293.339,293.15,49.3143,0
1200,293.15,293.15,293.349,293.15,49.2404,0
1260,293.15,293.15,293.358,293.15,49.1627,0
1320,293.15,293.15,293.367,293.15,49.0814,0
1380,293.15,293.15,293.377,293.15,48.9962,0
1440,293.15,293.15,293.386,293.15,48.9074,0
1500,293.15,293.15,293.395,293.15,48.8148,0
1560,293.15,293.15,293.404,293.15,48.7185,0
1620,293.15,293.15,293.413,293.15,48.6185,0
1680,293.15,293.15,293.422,293.15,48.5148,0
1740,293.15,293.15,293.431,293.15,48.4074,0
1800,293.15,293.15,293.44,293.15,48.2963,0
1860,293.15,293.15,293.449,293.15,48.1815,0
1920,293.15,293.15,293.457,293.15,48.0631,0
1980,293.15,293.15,293.466,293.15,47.941,0
2040,293.15,293.15,293.474,293.15,47.8152,0
2100,293.15,293.15,293.483,293.15,47.6858,0
2160,293.15,293.15,293.491,293.15,47.5528,0
2220,293.15,293.15,293.5,293.15,47.4162,0
2280,293.15,293.15,293.508,293.15,47.2759,0
2340,293.15,293.15,293.516,293.15,47.1321,0
2400,293.15,293.15,293.525,293.15,46.9846,0
2460,293.15,293.15,293.533,293.15,46.8336,0
2520,293.15,293.15,293.541,293.15,46.679,0
2580,293.15,293.15,293.549,293.15,46.5209,0
2640,293.15,293.15,293.557,293.15,46.3592,0
2700,293.15,293.15,293.565,293.15,46.194,0
2760,293.15,293.15,293.572,293.15,46.0252,0
2820,293.15,293.15,293.58,293.15,45.853,0
2880,293.15,293.15,293.588,293.15,45.6773,0
2940,293.15,293.15,293.595,293.15,45.4981,0
3000,293.15,293.15,293.603,293.15,45.3154,0
3060,293.15,293.15,293.61,293.15,45.1293,0
3120,293.15,293.15,293.618,293.15,44.9397,0
3180,293.15,293.15,293.625,293.15,44.7467,0
3240,293.15,293.15,293.632,293.15,44.5503,0
3300,293.15,293.15,293.64,293.15,44.3505,0
3360,293.15,293.15,293.647,293.15,44.1474,0
3420,293.15,293.15,293.654,293.15,43.9409,0
3480,293.15,293.15,293.661,293.15,43.731,0
3540,293.15,293.15,293.668,293.15,43.5178,0
3600,293.15,293.15,293.674,293.15,43.3013,0
3600,293.15,293.15,293.674,293.15,43.3013,0
3660,293.15,293.15,293.681,293.15,43.0815,0
3720,293.15,293.15,293.688,293.15,42.8584,0
3780,293.15,293.15,293.695,293.15,42.632,0
3840,293.15,293.15,293.701,293.15,42.4024,0
3900,293.15,293.15,293.708,293.15,42.1696,0
3960,293.15,293.15,293.714,293.15,41.9335,0
4020,293.15,293.15,293.72,293.15,41.6943,0
4080,293.15,293.15,293.727,293.15,41.4519,0
4140,293.15,293.15,293.733,293.15,41.2063,0
4200,293.15,293.15,293.739,293.15,40.9576,0
4200,293.15,293.15,293.739,293.15,40.9576,0
4200,293.15,293.15,293.739,293.15,40.9576,0
4260,293.15,293.15,293.745,293.15,40.7058,0
4320,293.15,293.15,293.751,293.15,40.4508,0
4380,293.15,293.15,293.757,293.15,40.1928,0
4440,293.15,293.15,293.762,293.15,39.9318,0
4500,293.15,293.15,293.768,293.15,39.6677,0
4500,293.15,293.15,293.768,293.15,39.6677,0
4500,293.15,293.15,293.768,293.15,39.6677,0
4560,293.15,293.15,293.774,293.15,39.4005,0
4620,293.15,293.15,293.779,293.15,39.1304,0
4680,293.15,293.15,293.785,293.15,38.8573,0
4740,293.15,293.15,293.79,293.15,38.5812,0
4800,293.15,293.15,293.795,293.15,38.3022,0
